ID   Class Name          Count       Freq(%)   
--------------------------------------------------
104  floor               1854561     27.009699 
276  wall                1562571     22.757176 
0    empty               431723      6.287584  
50   chair               336015      4.893699  
38   cabinet             251198      3.658430  
247  table               232243      3.382371  
84   door                227120      3.307760  
219  shelf               217067      3.161349  
67   couch               194923      2.838845  
19   bed                 168017      2.446988  
282  window              164535      2.396276  
74   curtain             109296      1.591779  
77   desk                85612       1.246847  
86   doorframe           70729       1.030092  
233  stairs              46373       0.675373  
183  pillow              45767       0.666547  
186  plant               45223       0.658625  
277  wardrobe            43803       0.637944  
181  picture             35409       0.515694  
68   counter             35404       0.515621  
235  stand               34961       0.509170  
16   bathtub             31834       0.463628  
33   box                 28227       0.411096  
23   bin                 26560       0.386818  
20   bench               25321       0.368773  
54   clothes             22109       0.321994  
202  rail                21943       0.319576  
225  sink                21863       0.318411  
204  refrigerator        21427       0.312061  
24   blackboard          20606       0.300104  
255  toilet              18989       0.276554  
240  stool               18515       0.269651  
159  mirror              17992       0.262034  
90   dresser             17776       0.258888  
144  lamp                16922       0.246451  
29   book                16850       0.245402  
103  fireplace           16527       0.240698  
25   blanket             16260       0.236810  
60   commode             15270       0.222391  
267  tv                  14407       0.209823  
161  monitor             13366       0.194662  
155  mat                 13129       0.191210  
200  radiator            12795       0.186345  
167  ottoman             11191       0.162985  
223  shower              10873       0.158354  
279  washing machine     10842       0.157902  
283  window frame        10786       0.157087  
261  towel               10724       0.156184  
199  rack                10192       0.148436  
59   column              9657        0.140644  
242  stove               9288        0.135270  
182  pillar              8917        0.129867  
27   board               8254        0.120211  
26   blinds              8232        0.119890  
11   bar                 8177        0.119089  
128  heater              8158        0.118813  
139  kitchen island      7985        0.116293  
7    bag                 7143        0.104030  
75   cushion             7135        0.103914  
55   clothes dryer       6978        0.101627  
6    backpack            6666        0.097083  
284  windowsill          6407        0.093311  
15   basket              6366        0.092714  
238  steps               6202        0.090326  
76   decoration          5991        0.087253  
65   copier              5847        0.085155  
46   carpet              5810        0.084616  
88   drawer              5282        0.076927  
69   countertop          5021        0.073125  
180  piano               4595        0.066921  
176  partition           4522        0.065858  
278  washbasin           4058        0.059100  
152  mailbox             4027        0.058649  
168  oven                4009        0.058387  
196  printer             3425        0.049881  
158  microwave           3393        0.049415  
97   exercise equipment  3219        0.046881  
21   bicycle             2658        0.038711  
110  frame               2249        0.032754  
17   beam                690         0.010049  
209  roof                71          0.001034  

